1.000985860824584961e+00 -1.162514090538024902e-04 -1.456200182437896729e-01 8.711962103843688965e-01 -8.553658723831176758e-01 -8.710799813270568848e-01
1.000784635543823242e+00 -6.916373968124389648e-05 -1.456048190593719482e-01 8.711165785789489746e-01 -8.551797866821289062e-01 -8.710474371910095215e-01
1.000561714172363281e+00 -2.007931470870971680e-05 -1.455549150705337524e-01 8.709920048713684082e-01 -8.550068140029907227e-01 -8.709719181060791016e-01
1.000364542007446289e+00 5.032867193222045898e-05 -1.454767286777496338e-01 8.708414435386657715e-01 -8.548878431320190430e-01 -8.708917498588562012e-01
1.000167608261108398e+00 1.208260655403137207e-04 -1.453982740640640259e-01 8.706909418106079102e-01 -8.547693490982055664e-01 -8.708117604255676270e-01
9.999788999557495117e-01 1.841858029365539551e-04 -1.453221738338470459e-01 8.705145120620727539e-01 -8.546566963195800781e-01 -8.706986904144287109e-01
9.997875690460205078e-01 2.469196915626525879e-04 -1.452473104000091553e-01 8.703520298004150391e-01 -8.545402288436889648e-01 -8.705989718437194824e-01
9.995277523994445801e-01 2.975985407829284668e-04 -1.451978683471679688e-01 8.701658248901367188e-01 -8.543298840522766113e-01 -8.704634308815002441e-01
9.992476105690002441e-01 3.413334488868713379e-04 -1.451515853404998779e-01 8.699387311935424805e-01 -8.540960550308227539e-01 -8.702800869941711426e-01
9.989654421806335449e-01 3.508552908897399902e-04 -1.451065242290496826e-01 8.696836829185485840e-01 -8.538589477539062500e-01 -8.700345158576965332e-01
9.986731410026550293e-01 3.784671425819396973e-04 -1.451262086629867554e-01 8.694274425506591797e-01 -8.535469174385070801e-01 -8.698059320449829102e-01
9.981803297996520996e-01 4.297122359275817871e-04 -1.451318264007568359e-01 8.691786527633666992e-01 -8.530485033988952637e-01 -8.696083426475524902e-01
9.976678490638732910e-01 4.826262593269348145e-04 -1.450360119342803955e-01 8.686434030532836914e-01 -8.526318073272705078e-01 -8.691260218620300293e-01
9.971523284912109375e-01 5.257949233055114746e-04 -1.449200809001922607e-01 8.680304288864135742e-01 -8.522322177886962891e-01 -8.685562014579772949e-01
9.966250061988830566e-01 5.967542529106140137e-04 -1.448246091604232788e-01 8.674780130386352539e-01 -8.518003821372985840e-01 -8.680747747421264648e-01
